Date,Simple Date,Outdoor Temperature (°F),Feels Like (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Humidity (%)
"2025-08-14 23:55:00","08/14/2025 11:55:00 PM",72.0,72.0,4.2,7.0,18.0,245.0,58.0
"2025-08-15 00:00:00","08/15/2025 12:00:00 AM",71.5,71.5,3.8,6.5,18.0,250.0,59.0
